doc_id,title,source_url,pdf_url,version,pages,include_range,role
turboquant,TurboQuant: Online Vector Quantization with Near-optimal Distortion Rate,https://arxiv.org/abs/2504.19874,https://arxiv.org/pdf/2504.19874v1,v1,25,all (참고문헌 포함),핵심 논문 (SW)
cxl_pnm,Scalable Processing-Near-Memory for 1M-Token LLM Inference: CXL-Enabled KV-Cache Management Beyond GPU Limits,https://arxiv.org/abs/2511.00321,https://arxiv.org/pdf/2511.00321v1,v1,17,all (참고문헌 포함),핵심 논문 (HW)
